original_title,role,name
Ghost Rider (2007),editorial_department,Toby Francis-Bruce
Ghost Rider (2007),editorial_department,Mo Henry
Ghost Rider (2007),editorial_department,Dale Jones
Ghost Rider (2007),editorial_department,Robert E. Phillips
Ghost Rider (2007),editorial_department,Robb Porter
Ghost Rider (2007),editorial_department,Jim Schermerhorn
Ghost Rider (2007),editorial_department,Steven J. Scott
Ghost Rider (2007),editorial_department,Jennifer Spenelli
Ghost Rider (2007),editorial_department,Lawrence Howard Williams
Ghost Rider (2007),editorial_department,Neil Wood
Ghost Rider (2007),editorial_department,Jim Passon
Sex and the City 2 (2010),editorial_department,Matt Absher
Sex and the City 2 (2010),editorial_department,Gary Burritt
Sex and the City 2 (2010),editorial_department,Wendy Chesebrough Lowe
Sex and the City 2 (2010),editorial_department,Gardner Gould
Sex and the City 2 (2010),editorial_department,Trevor Johann
Sex and the City 2 (2010),editorial_department,Jim Passon
Sex and the City 2 (2010),editorial_department,Amy Joy Rivkin
Sex and the City 2 (2010),editorial_department,Stuart Sperling
Sex and the City 2 (2010),editorial_department,Scot Starbuck
Sex and the City 2 (2010),editorial_department,Lisa Tutunjian
Sex and the City 2 (2010),editorial_department,Loretta Wallace
Sex and the City 2 (2010),editorial_department,Matt Breitenbach
The Adventures of Pluto Nash (2002),editorial_department,Jim Flynn
The Adventures of Pluto Nash (2002),editorial_department,Mike Jackson
The Adventures of Pluto Nash (2002),editorial_department,David Orr
Scooby-Doo (2002),editorial_department,Kirsty Bruce
Scooby-Doo (2002),editorial_department,Pamela Choules
Scooby-Doo (2002),editorial_department,Matthew Diezel
Scooby-Doo (2002),editorial_department,Mo Henry
Scooby-Doo (2002),editorial_department,Mandy Jacobs
Scooby-Doo (2002),editorial_department,David Orr
Scooby-Doo (2002),editorial_department,Kent Pritchett
Scooby-Doo (2002),editorial_department,David Raymond
Scooby-Doo (2002),editorial_department,Peter Tackaberry
Scooby-Doo (2002),editorial_department,Trish Cahill
Scooby-Doo (2002),editorial_department,Bill Daly
Scooby-Doo (2002),editorial_department,Valance Eisleben
Scooby-Doo (2002),editorial_department,Monica Heideman
Silent Hill (2006),editorial_department,Denis Bedlow
Silent Hill (2006),editorial_department,Charles Fréville
Silent Hill (2006),editorial_department,Emile Hanton
Silent Hill (2006),editorial_department,Nick Iannelli
Silent Hill (2006),editorial_department,Tom Mayclim
Silent Hill (2006),editorial_department,Arthur Montreuil
Silent Hill (2006),editorial_department,Dave Muscat
Silent Hill (2006),editorial_department,Lorraine Samuel
Silent Hill (2006),editorial_department,Adrian Saywell
Silent Hill (2006),editorial_department,Nora Sèches
Silent Hill (2006),editorial_department,Chris Wallace
Silent Hill (2006),editorial_department,David Wu
Silent Hill (2006),editorial_department,David McGroarty
Resident Evil (2002),editorial_department,Sonja Baeger
Resident Evil (2002),editorial_department,Patricia Ferbeck
Resident Evil (2002),editorial_department,Christine Ketterer
Resident Evil (2002),editorial_department,Andreas Lautil
Resident Evil (2002),editorial_department,Isabel Prochnow
Resident Evil (2002),editorial_department,Gottfried Reisecker
Resident Evil (2002),editorial_department,Franziska Schmidt-Kärner
Resident Evil (2002),editorial_department,Renate Siegl
Resident Evil (2002),editorial_department,Sandra Stier
Resident Evil (2002),editorial_department,Marco Pav D'Auria
The Anomaly (2014),editorial_department,Richard Blackburn
The Anomaly (2014),editorial_department,Filipe Fernandes
The Anomaly (2014),editorial_department,Jeff Stroot
The Anomaly (2014),editorial_department,Berta Valverde
The Anomaly (2014),editorial_department,Pat Wintersgill
Super Mario Bros. (1993),editorial_department,Carole Henderson Harrington
Super Mario Bros. (1993),editorial_department,Bob Kaiser
Super Mario Bros. (1993),editorial_department,Christopher Notarthomas
Super Mario Bros. (1993),editorial_department,Clay Rawlins
Super Mario Bros. (1993),editorial_department,Caroline Ross
Super Mario Bros. (1993),editorial_department,Lorraine Salk
Super Mario Bros. (1993),editorial_department,John Finklea
Super Mario Bros. (1993),editorial_department,Brian Yesowitch
Trolls World Tour (2020),editorial_department,Jay Bixsen
Trolls World Tour (2020),editorial_department,Alex Cardullo
Trolls World Tour (2020),editorial_department,Gregory Creaser
Trolls World Tour (2020),editorial_department,R. Orlando Duenas
Trolls World Tour (2020),editorial_department,Jillian Gomez
Trolls World Tour (2020),editorial_department,Krista Henrickson
Trolls World Tour (2020),editorial_department,Chris Hewitt
Trolls World Tour (2020),editorial_department,Paul McGhee
Trolls World Tour (2020),editorial_department,Paul Parmer
Trolls World Tour (2020),editorial_department,David M. Poole
Trolls World Tour (2020),editorial_department,Brianna Rivera
The Rocky Horror Picture Show (1975),editorial_department,Rodney Glenn
The Rocky Horror Picture Show (1975),editorial_department,Nigel Galt
Street Fighter (1994),editorial_department,Lynn Abroms
Street Fighter (1994),editorial_department,Matthew Booth
Street Fighter (1994),editorial_department,Matthew Cassel
Street Fighter (1994),editorial_department,Albert Coleman
Street Fighter (1994),editorial_department,Nicolas De Toth
Street Fighter (1994),editorial_department,John Finklea
Street Fighter (1994),editorial_department,Sandra Grubb
Street Fighter (1994),editorial_department,Al Hansen
Street Fighter (1994),editorial_department,Lee Harry
Street Fighter (1994),editorial_department,Phil Hetos
Street Fighter (1994),editorial_department,Brian Johnson
Street Fighter (1994),editorial_department,Carole A. Kenneally
Street Fighter (1994),editorial_department,Geoff Lamb
Street Fighter (1994),editorial_department,Lisa Morlas
Street Fighter (1994),editorial_department,Craig Nisker
Street Fighter (1994),editorial_department,Beverly Pinnas
Street Fighter (1994),editorial_department,Stacy Plavoukos
Street Fighter (1994),editorial_department,Theresa Repola Mohammed
Street Fighter (1994),editorial_department,Florent Retz
Street Fighter (1994),editorial_department,Bob Shugrue Jr.
A Very Country Christmas (2017),editorial_department,Marco Deufemia
A Very Country Christmas (2017),editorial_department,Matt Evans
A Very Country Christmas (2017),editorial_department,Matt Evans
A Very Country Christmas (2017),editorial_department,Ginny Milling
A Very Country Christmas (2017),editorial_department,Tiffany Ravensbergen
A Very Country Christmas (2017),editorial_department,April Snell
A Very Country Christmas (2017),editorial_department,Ryan Travers
We Can Be Heroes (2020),editorial_department,George Chavez
We Can Be Heroes (2020),editorial_department,Tricia Chiarenza
We Can Be Heroes (2020),editorial_department,Patrick Clancey
We Can Be Heroes (2020),editorial_department,Lily Henry
We Can Be Heroes (2020),editorial_department,Erik Allen Johnson
We Can Be Heroes (2020),editorial_department,Natasha Leonnet
We Can Be Heroes (2020),editorial_department,Jay Mahavier
We Can Be Heroes (2020),editorial_department,Ray Ruotolo
We Can Be Heroes (2020),editorial_department,Cody Sallee
Spice World (1997),editorial_department,Mark Edinoff
Spice World (1997),editorial_department,Paul Ensby
Spice World (1997),editorial_department,Jinx Godfrey
Spice World (1997),editorial_department,Polly Jefferies
Spice World (1997),editorial_department,Nicole Kavanagh
Spice World (1997),editorial_department,Paul Swann
Spice World (1997),editorial_department,Tom Mayclim
Star Trek IV: The Voyage Home (1986),editorial_department,Thomas R. Bryant
Star Trek IV: The Voyage Home (1986),editorial_department,John Haggar
Star Trek IV: The Voyage Home (1986),editorial_department,Robert Raring
Star Trek IV: The Voyage Home (1986),editorial_department,George C. Villaseñor
I Know Who Killed Me (2007),editorial_department,Alastor Arnold
I Know Who Killed Me (2007),editorial_department,Lizzy Calhoun
I Know Who Killed Me (2007),editorial_department,John Daro
I Know Who Killed Me (2007),editorial_department,Mato
I Know Who Killed Me (2007),editorial_department,John Nicolard
I Know Who Killed Me (2007),editorial_department,Bill Schultz
I Know Who Killed Me (2007),editorial_department,Stephen Shapiro
I Know Who Killed Me (2007),editorial_department,Walter Volpatto
Jungle 2 Jungle (1997),editorial_department,Jason Ninness
Jungle 2 Jungle (1997),editorial_department,Joseph Jett Sally
Jungle 2 Jungle (1997),editorial_department,Kevin Greutert
Howard the Duck (1986),editorial_department,Charles Bornstein
Howard the Duck (1986),editorial_department,Catherine Coombs
Howard the Duck (1986),editorial_department,John Davidson
Howard the Duck (1986),editorial_department,Phil Downey
Howard the Duck (1986),editorial_department,Rick Finney
Howard the Duck (1986),editorial_department,Jay Ignaszewski
Howard the Duck (1986),editorial_department,Tom Kobayashi
Howard the Duck (1986),editorial_department,Susan A. Leahy
Howard the Duck (1986),editorial_department,Kate MacDonald
Howard the Duck (1986),editorial_department,Debra McDermott
Howard the Duck (1986),editorial_department,Greg Rodin
Howard the Duck (1986),editorial_department,Jim Schurmann
Howard the Duck (1986),editorial_department,Edward Warschilka
Howard the Duck (1986),editorial_department,John Watson
She's All That (1999),editorial_department,James Andrykowski
She's All That (1999),editorial_department,Gary Burritt
She's All That (1999),editorial_department,Lance Chapman
She's All That (1999),editorial_department,Cathy Rait
She's All That (1999),editorial_department,Michael Toll
She's All That (1999),editorial_department,Michael T. Wilson
She's All That (1999),editorial_department,Stephen Young Chin
Hackers (1995),editorial_department,Tom Gibson
Hackers (1995),editorial_department,Jo Human
Hackers (1995),editorial_department,Steve Maguire
Hackers (1995),editorial_department,Jonathan Mann
Hackers (1995),editorial_department,Julian Pryce
Hackers (1995),editorial_department,Fabienne Rawley
Hackers (1995),editorial_department,Christian Wheeler
Hackers (1995),editorial_department,Ed Stabile
Batman & Robin (1997),editorial_department,Rolf Fleischmann
Batman & Robin (1997),editorial_department,Mo Henry
Batman & Robin (1997),editorial_department,Erin Michelle Hopkins
Batman & Robin (1997),editorial_department,Uri Katoni
Batman & Robin (1997),editorial_department,Dennis Newman
Batman & Robin (1997),editorial_department,Bob Putynkowski
Batman & Robin (1997),editorial_department,Mark S. Westmore
Batman & Robin (1997),editorial_department,Bill Daly
Batman & Robin (1997),editorial_department,Adam M. Duthie
Batman & Robin (1997),editorial_department,Jeannine Jones
Batman & Robin (1997),editorial_department,Jason O'Donovan
My Brother the Pig (1999),editorial_department,Tim Board
Catwoman (2004),editorial_department,Carolle Alain
Catwoman (2004),editorial_department,Kate Baird
Catwoman (2004),editorial_department,David Blackburn
Catwoman (2004),editorial_department,Matthew Diezel
Catwoman (2004),editorial_department,Soline Guyonneau
Catwoman (2004),editorial_department,Mo Henry
Catwoman (2004),editorial_department,Mel Kangleon
Catwoman (2004),editorial_department,Blu Murray
Catwoman (2004),editorial_department,Eszter Nagy
Catwoman (2004),editorial_department,Gary Roach
Catwoman (2004),editorial_department,Mark Dinicola
Catwoman (2004),editorial_department,Jonathan Malden
Cats (2019),casting_directors,Lucy Bevan
Emo the Musical (2016),casting_directors,Thea McLeod
Paul Blart: Mall Cop 2 (2015),casting_directors,Marcia Ross
Waterworld (1995),casting_directors,David Rubin
Battlefield Earth (2000),casting_directors,Lynn Stalmaster
Striking Distance (1993),casting_directors,Pam Dixon
Twilight (2008),casting_directors,Deborah Aquila
Twilight (2008),casting_directors,Tricia Wood
The Twilight Saga: New Moon (2009),casting_directors,Sean Cossey
The Twilight Saga: New Moon (2009),casting_directors,Rene Haynes
The Twilight Saga: New Moon (2009),casting_directors,Joseph Middleton
The Lizzie McGuire Movie (2003),casting_directors,Robin Lippin
Gigli (2003),casting_directors,Ellen Lewis
Anon (2018),casting_directors,John Buchan
Anon (2018),casting_directors,Denise Chamian
Anon (2018),casting_directors,Jason Knight
Step Sisters (2018),casting_directors,Victoria Thomas
Rip Tide (2017),casting_directors,Danny Long
Starship Troopers (1997),casting_directors,Elaine J. Huzzar
Starship Troopers (1997),casting_directors,Johanna Ray
The Clique (2008),casting_directors,Harriet Greenspan
The Last Airbender (2010),casting_directors,Douglas Aibel
Sleepover (2004),casting_directors,Mary Gail Artz
Sleepover (2004),casting_directors,Barbara Cohen
The Adventures of Sharkboy and Lavagirl 3-D (2005),casting_directors,Mary Vernieu
The Roommate (2011),casting_directors,Lindsey Hayes Kroeger
Mortal Kombat (1995),casting_directors,Fern Champion
Mortal Kombat (1995),casting_directors,Kate Kennedy
Mortal Kombat (1995),casting_directors,Mark Paladini
Ghost Rider (2007),casting_directors,Juel Bestrop
Ghost Rider (2007),casting_directors,Christine King
Ghost Rider (2007),casting_directors,Jeanne McCarthy
Sex and the City 2 (2010),casting_directors,Tiffany Little Canfield
Sex and the City 2 (2010),casting_directors,Bernard Telsey
The Adventures of Pluto Nash (2002),casting_directors,Mary Colquhoun
Scooby-Doo (2002),casting_directors,Mary Vernieu
Silent Hill (2006),casting_directors,Deirdre Bowen
Resident Evil (2002),casting_directors,Robyn Ray
Resident Evil (2002),casting_directors,Suzanne Smith
The Anomaly (2014),casting_directors,Colin Jones
Super Mario Bros. (1993),casting_directors,Don Finn
Super Mario Bros. (1993),casting_directors,Mali Finn
Trolls World Tour (2020),casting_directors,Christi Soper
The Rocky Horror Picture Show (1975),casting_directors,Joel Thurm
Street Fighter (1994),casting_directors,Steve Brooksbank
Street Fighter (1994),casting_directors,Mary Jo Slater
A Very Country Christmas (2017),casting_directors,Brigitte Kingsley
Santa Girl (2019),casting_directors,Jan Glaser
We Can Be Heroes (2020),casting_directors,Mary Vernieu
We Can Be Heroes (2020),casting_directors,Michelle Wade Byrd
Spice World (1997),casting_directors,Simone Pereira Hind
Spice World (1997),casting_directors,Vanessa Pereira
Star Trek IV: The Voyage Home (1986),casting_directors,Amanda Mackey
I Know Who Killed Me (2007),casting_directors,Dino Ladki
Jungle 2 Jungle (1997),casting_directors,Renee Rousselot
Howard the Duck (1986),casting_directors,Dianne Crittenden
Howard the Duck (1986),casting_directors,Nancy Nayor
She's All That (1999),casting_directors,Ed Mitchell
She's All That (1999),casting_directors,Robyn Ray
Hackers (1995),casting_directors,Dianne Crittenden
Hackers (1995),casting_directors,Michelle Guish
Batman & Robin (1997),casting_directors,Mali Finn
My Brother the Pig (1999),casting_directors,Dean E. Fronk
My Brother the Pig (1999),casting_directors,Donald Paul Pemrick
Catwoman (2004),casting_directors,John Papsidera
Cats (2019),production_designers,Eve Stewart
Emo the Musical (2016),production_designers,Simon McCutcheon
Sunday School Musical (2008),production_designers,Tessa Faulkner
Paul Blart: Mall Cop 2 (2015),production_designers,Perry Andelin Blake
Waterworld (1995),production_designers,Dennis Gassner
Battlefield Earth (2000),production_designers,Patrick Tatopoulos
Striking Distance (1993),production_designers,Gregg Fonseca
The Twilight Saga: New Moon (2009),production_designers,David Brisbin
The Lizzie McGuire Movie (2003),production_designers,Douglas Higgins
Gigli (2003),production_designers,Gary Frutkoff
Anon (2018),production_designers,Philip Ivey
Step Sisters (2018),production_designers,Jeffrey Pratt Gordon
Step Sisters (2018),production_designers,Niko Vilaivongs
Rip Tide (2017),production_designers,Jan Edwards
Starship Troopers (1997),production_designers,Allan Cameron
The Clique (2008),production_designers,Philip Toolin
The Last Airbender (2010),production_designers,Philip Messina
Sleepover (2004),production_designers,Stephen McCabe
The Roommate (2011),production_designers,Jon Gary Steele
Mortal Kombat (1995),production_designers,Jonathan A. Carlson
Ghost Rider (2007),production_designers,Kirk M. Petruccelli
Sex and the City 2 (2010),production_designers,Jeremy Conway
The Adventures of Pluto Nash (2002),production_designers,Bill Brzeski
Scooby-Doo (2002),production_designers,Bill Boes
Silent Hill (2006),production_designers,Carol Spier
Resident Evil (2002),production_designers,Richard Bridgland
Yinz (2018),production_designers,Matt Eames
The Anomaly (2014),production_designers,Paul Burns
Birdemic: Shock and Terror (2010),production_designers,John Davis
Super Mario Bros. (1993),production_designers,David L. Snyder
Trolls World Tour (2020),production_designers,Kendal Cronkhite
The Rocky Horror Picture Show (1975),production_designers,Brian Thomson
Street Fighter (1994),production_designers,William J. Creber
A Very Country Christmas (2017),production_designers,Allie Thompson
Santa Girl (2019),production_designers,Tony Matteson Jr.
Spice World (1997),production_designers,Grenville Horner
Star Trek IV: The Voyage Home (1986),production_designers,Jack T. Collis
I Know Who Killed Me (2007),production_designers,Jerry Fleming
Jungle 2 Jungle (1997),production_designers,Stuart Wurtzel
Howard the Duck (1986),production_designers,Peter Jamison
She's All That (1999),production_designers,Charles William Breen
Hackers (1995),production_designers,John Beard
Batman & Robin (1997),production_designers,Barbara Ling
My Brother the Pig (1999),production_designers,Gilles Arondeau
Catwoman (2004),production_designers,Bill Brzeski
Cats (2019),art_directors,Megan Jones
Cats (2019),art_directors,Matt Sharp
Cats (2019),art_directors,Ketan Waikar
Cats (2019),art_directors,Tom Weaving
Cats (2019),art_directors,Loic Zimmermann
Sunday School Musical (2008),art_directors,Tessa Faulkner
Paul Blart: Mall Cop 2 (2015),art_directors,Alan Au
Waterworld (1995),art_directors,David F. Klassen
Battlefield Earth (2000),art_directors,Oana Bogdan Miller
Battlefield Earth (2000),art_directors,Claude Paré
Striking Distance (1993),art_directors,Bruce Alan Miller
Twilight (2008),art_directors,Christopher Brown
Twilight (2008),art_directors,Ian Phillips
The Twilight Saga: New Moon (2009),art_directors,Susanna Codognato
The Twilight Saga: New Moon (2009),art_directors,Catherine Ircha
The Lizzie McGuire Movie (2003),art_directors,Patrick Banister
Gigli (2003),art_directors,Sue Chan
Anon (2018),art_directors,Aleksandra Marinkovich
Step Sisters (2018),art_directors,Cedar Valentine
Rip Tide (2017),art_directors,Jamie Cranney
Starship Troopers (1997),art_directors,Bruce Robert Hill
Starship Troopers (1997),art_directors,Steven Wolff
The Last Airbender (2010),art_directors,Robert Fechtman
The Last Airbender (2010),art_directors,Richard L. Johnson
The Last Airbender (2010),art_directors,Brian McCafferty
The Last Airbender (2010),art_directors,Patrick M. Sullivan Jr.
The Last Airbender (2010),art_directors,Gerald Sullivan
Sleepover (2004),art_directors,Drew Boughton
The Adventures of Sharkboy and Lavagirl 3-D (2005),art_directors,Steve Joyner
The Adventures of Sharkboy and Lavagirl 3-D (2005),art_directors,Jeanette Scott
The Adventures of Sharkboy and Lavagirl 3-D (2005),art_directors,Christopher Stull
The Roommate (2011),art_directors,Chris Cornwell
Mortal Kombat (1995),art_directors,Jeremy Cassells
Ghost Rider (2007),art_directors,Richard Hobbs
Ghost Rider (2007),art_directors,Peter Russell
Sex and the City 2 (2010),art_directors,Miguel López-Castillo
Sex and the City 2 (2010),art_directors,Marco Trentini
The Adventures of Pluto Nash (2002),art_directors,Gilles Aird
The Adventures of Pluto Nash (2002),art_directors,Shepherd Frankel
The Adventures of Pluto Nash (2002),art_directors,Raynald Langelier
The Adventures of Pluto Nash (2002),art_directors,Jason Weil
Scooby-Doo (2002),art_directors,Bill Booth
Scooby-Doo (2002),art_directors,Donna Brown
Scooby-Doo (2002),art_directors,Helen Gabrielle Gliniak
Scooby-Doo (2002),art_directors,Christian Wintter
Silent Hill (2006),art_directors,Elinor Rose Galbraith
Silent Hill (2006),art_directors,James McAteer
Resident Evil (2002),art_directors,Jörg Baumgarten
Resident Evil (2002),art_directors,Tony Reading
The Anomaly (2014),art_directors,Nick Akass
The Anomaly (2014),art_directors,Elliot Scott
Super Mario Bros. (1993),art_directors,Walter P. Martishius
Trolls World Tour (2020),art_directors,Timothy Lamb
The Rocky Horror Picture Show (1975),art_directors,Terry Ackland-Snow
Street Fighter (1994),art_directors,Lek Chaiyan Chunsuttiwat
Street Fighter (1994),art_directors,Ian Gracie
A Very Country Christmas (2017),art_directors,Ashley Corley
Santa Girl (2019),art_directors,Lauren Alexandra
We Can Be Heroes (2020),art_directors,Paul Alix
We Can Be Heroes (2020),art_directors,Marc Baroni
Spice World (1997),art_directors,Colin Blaymires
Spice World (1997),art_directors,David Walley
Star Trek IV: The Voyage Home (1986),art_directors,Joe Aubel
Star Trek IV: The Voyage Home (1986),art_directors,Peter Landsdown Smith
Jungle 2 Jungle (1997),art_directors,Tim Galvin
Howard the Duck (1986),art_directors,Mark Billerman
Howard the Duck (1986),art_directors,Blake Russell
She's All That (1999),art_directors,Gary Diamond
Hackers (1995),art_directors,John Frankish
Batman & Robin (1997),art_directors,Richard Holland
Batman & Robin (1997),art_directors,Geoff Hubbard
Catwoman (2004),art_directors,Shepherd Frankel
Catwoman (2004),art_directors,Dan Hermansen
Catwoman (2004),art_directors,Don Macaulay
Catwoman (2004),art_directors,Frank Varela
Cats (2019),set_decorators,Michael Standish
Paul Blart: Mall Cop 2 (2015),set_decorators,Karen O'Hara
Waterworld (1995),set_decorators,Nancy Haigh
Battlefield Earth (2000),set_decorators,Louis Dandonneau
Battlefield Earth (2000),set_decorators,Anne Galéa
Striking Distance (1993),set_decorators,Jay Hart
Twilight (2008),set_decorators,Gene Serdena
The Twilight Saga: New Moon (2009),set_decorators,Lesley Beale
The Lizzie McGuire Movie (2003),set_decorators,Sam Higgins
Gigli (2003),set_decorators,Maggie Martin
Anon (2018),set_decorators,Patricia Cuccia
Step Sisters (2018),set_decorators,Gia Grosso
Step Sisters (2018),set_decorators,Lisa Son
Starship Troopers (1997),set_decorators,Robert Gould
The Clique (2008),set_decorators,Wanda 'Beau' Peterson
The Last Airbender (2010),set_decorators,Larry Dias
Sleepover (2004),set_decorators,Teresa Visinare
The Adventures of Sharkboy and Lavagirl 3-D (2005),set_decorators,David Hack
The Adventures of Sharkboy and Lavagirl 3-D (2005),set_decorators,Jeanette Scott
The Roommate (2011),set_decorators,Cynthia McCormac
Mortal Kombat (1995),set_decorators,Susan Degas
Ghost Rider (2007),set_decorators,Suza Maybury
Sex and the City 2 (2010),set_decorators,Lydia Marks
Sex and the City 2 (2010),set_decorators,Lee Sandales
The Adventures of Pluto Nash (2002),set_decorators,Elise de Blois
The Adventures of Pluto Nash (2002),set_decorators,Brana Rosenfeld
The Adventures of Pluto Nash (2002),set_decorators,Charles-David Deschenes
Scooby-Doo (2002),set_decorators,Jodie Allen
Scooby-Doo (2002),set_decorators,Suza Maybury
Scooby-Doo (2002),set_decorators,Matthew Putland
Scooby-Doo (2002),set_decorators,Sandy Wingrove
Silent Hill (2006),set_decorators,Peter P. Nicolakakos
Resident Evil (2002),set_decorators,Penny Crawford
The Anomaly (2014),set_decorators,Melissa Harper
Super Mario Bros. (1993),set_decorators,Beth A. Rubino
Street Fighter (1994),set_decorators,Lesley Crawford
Street Fighter (1994),set_decorators,Jensen Toms
We Can Be Heroes (2020),set_decorators,Bart Brown
We Can Be Heroes (2020),set_decorators,Jennifer Long
Spice World (1997),set_decorators,Linda Wilson
Star Trek IV: The Voyage Home (1986),set_decorators,John M. Dwyer
I Know Who Killed Me (2007),set_decorators,Betty Berberian
Jungle 2 Jungle (1997),set_decorators,Beth A. Rubino
Howard the Duck (1986),set_decorators,Phil Abramson
Howard the Duck (1986),set_decorators,Gary Heider
She's All That (1999),set_decorators,Jeffrey Kushon
Hackers (1995),set_decorators,Alyssa Winter
Hackers (1995),set_decorators,Joanne Woollard
Batman & Robin (1997),set_decorators,Dorree Cooper
Catwoman (2004),set_decorators,Carol Lavallee
Catwoman (2004),set_decorators,Lisa K. Sessions
Cats (2019),costume_designers,Paco Delgado
Emo the Musical (2016),costume_designers,Andrew Infanti
Sunday School Musical (2008),costume_designers,Sharon Stockbridge
Paul Blart: Mall Cop 2 (2015),costume_designers,Genevieve Tyrrell
Waterworld (1995),costume_designers,John Bloomfield
Battlefield Earth (2000),costume_designers,Patrick Tatopoulos
Striking Distance (1993),costume_designers,Betsy Cox
Twilight (2008),costume_designers,Wendy Chuck
The Twilight Saga: New Moon (2009),costume_designers,Tish Monaghan
The Lizzie McGuire Movie (2003),costume_designers,Monique Prudhomme
The Lizzie McGuire Movie (2003),costume_designers,David C. Robinson
Gigli (2003),costume_designers,Michael Kaplan
Anon (2018),costume_designers,Christopher Hargadon
Step Sisters (2018),costume_designers,Lorraine Coppin
Rip Tide (2017),costume_designers,Andrew Infanti
Starship Troopers (1997),costume_designers,Ellen Mirojnick
The Clique (2008),costume_designers,Mandi Line
The Last Airbender (2010),costume_designers,Judianna Makovsky
Sleepover (2004),costume_designers,Pamela Withers
The Adventures of Sharkboy and Lavagirl 3-D (2005),costume_designers,Nina Proctor
The Roommate (2011),costume_designers,Maya Lieberman
Mortal Kombat (1995),costume_designers,Ha Nguyen
Ghost Rider (2007),costume_designers,Lizzy Gardiner
Sex and the City 2 (2010),costume_designers,Jacqueline Demeterio
Sex and the City 2 (2010),costume_designers,Patricia Field
Sex and the City 2 (2010),costume_designers,Jessica Replansky
Sex and the City 2 (2010),costume_designers,Molly Rogers
Sex and the City 2 (2010),costume_designers,Danny Santiago
The Adventures of Pluto Nash (2002),costume_designers,Ha Nguyen
Scooby-Doo (2002),costume_designers,Leesa Evans
Silent Hill (2006),costume_designers,Wendy Partridge
Resident Evil (2002),costume_designers,Richard Bridgland
The Anomaly (2014),costume_designers,Andy Blake
Super Mario Bros. (1993),costume_designers,Joseph A. Porro
The Rocky Horror Picture Show (1975),costume_designers,Sue Blane
Street Fighter (1994),costume_designers,Deborah Kramer
A Very Country Christmas (2017),costume_designers,Kenda Hoggan
Santa Girl (2019),costume_designers,Lauren Alexandra
We Can Be Heroes (2020),costume_designers,Peter Daulton
Spice World (1997),costume_designers,Kate Carin
Star Trek IV: The Voyage Home (1986),costume_designers,Robert Fletcher
I Know Who Killed Me (2007),costume_designers,Rachel Sage Kunin
Jungle 2 Jungle (1997),costume_designers,Carol Ramsey
Howard the Duck (1986),costume_designers,Joe I. Tompkins
She's All That (1999),costume_designers,Denise Wingate
Hackers (1995),costume_designers,Roger Burton
Batman & Robin (1997),costume_designers,Ingrid Ferrin
Batman & Robin (1997),costume_designers,Robert Turturice
My Brother the Pig (1999),costume_designers,Astrid Brucker
Catwoman (2004),costume_designers,Angus Strathie
Cats (2019),make_up_department,Angela Appiah
Cats (2019),make_up_department,Sharon Day
Cats (2019),make_up_department,Chloe Dixon
Cats (2019),make_up_department,Hafasa Ghate
Cats (2019),make_up_department,Charlotte Hayward
Cats (2019),make_up_department,Lesley Hooper
Cats (2019),make_up_department,Carmel Jackson
Cats (2019),make_up_department,Magdalena Janusinska-Surma
Cats (2019),make_up_department,Uxue Laguardia
Cats (2019),make_up_department,Hattie Leviston
Cats (2019),make_up_department,Klara Levring
Cats (2019),make_up_department,Sharon Martin
Cats (2019),make_up_department,Nuria Mbomio
Cats (2019),make_up_department,Sara Menitra
Cats (2019),make_up_department,Nadine Moseley
Cats (2019),make_up_department,Niamh O'Loan
Cats (2019),make_up_department,Daisy Oldershaw
Cats (2019),make_up_department,Tamara Ramsey
Cats (2019),make_up_department,Amy Eliza Read
Cats (2019),make_up_department,Naomi Spurr
Cats (2019),make_up_department,Kari Thompson
Emo the Musical (2016),make_up_department,Bec Hilton
Emo the Musical (2016),make_up_department,Liz Jenkinson
Emo the Musical (2016),make_up_department,Paulie King
Emo the Musical (2016),make_up_department,Ian Loughnan
Emo the Musical (2016),make_up_department,Debbie Muller
Emo the Musical (2016),make_up_department,April Rose Munro
Emo the Musical (2016),make_up_department,Jutta Schmitz
Sunday School Musical (2008),make_up_department,Megan Nicoll
Paul Blart: Mall Cop 2 (2015),make_up_department,Arleen Chavez
Paul Blart: Mall Cop 2 (2015),make_up_department,Corina C. Duran-Rabichuk
Paul Blart: Mall Cop 2 (2015),make_up_department,Jessica Reid Fox
Paul Blart: Mall Cop 2 (2015),make_up_department,Kathleen Freeman
Paul Blart: Mall Cop 2 (2015),make_up_department,Mark Garbarino
Paul Blart: Mall Cop 2 (2015),make_up_department,Alec Gillis
Paul Blart: Mall Cop 2 (2015),make_up_department,Dorota Hines
Paul Blart: Mall Cop 2 (2015),make_up_department,Maynard Matthews
Paul Blart: Mall Cop 2 (2015),make_up_department,Chantal Perry
Paul Blart: Mall Cop 2 (2015),make_up_department,Jen Rose
Paul Blart: Mall Cop 2 (2015),make_up_department,Karen Stephens
Paul Blart: Mall Cop 2 (2015),make_up_department,Alexis Walker
Paul Blart: Mall Cop 2 (2015),make_up_department,Tom Woodruff Jr.
Paul Blart: Mall Cop 2 (2015),make_up_department,Andrea Young
Waterworld (1995),make_up_department,David LeRoy Anderson
Waterworld (1995),make_up_department,Carol Borden
Waterworld (1995),make_up_department,Janis Clark
Waterworld (1995),make_up_department,Joe Colwell
Waterworld (1995),make_up_department,Paulette Crammond
