original_title,plot,runtimes,countries,country_codes,language_codes,color_info,aspect_ratio,sound_mix,certificates,original_air_date,rating,votes,cover_url,imdbID,languages,title,year,kind
Scooby-Doo (2002),"After an acrimonious break up, the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on.::Kenneth Chisholm; The Mystery Inc. gang have gone their separate ways and have been apart for two years, until they each receive an invitation to Spooky Island. Not knowing that the others have also been invited, they show up and discover an amusement park that affects young visitors in very strange ways. Fred, Daphne, Velma, Shaggy and Scooby soon realize that they cannot solve this mystery without help from each other.::Doug_Funnie; Well Zoinks! They're back together again!! After two years apart, Mystery, Inc. are back together and ready to solve the mystery of Spooky Island. Spooky Island is a resort run by one Mr. Emile Mondavarious, who is having troubles with what he believes are real spooks. This is bad for business, when it gets around and threatens to send the guests scattering back to the mainland. Mondavarious convinces the gang that they are needed and should work together. But is the island really haunted, or is there just a sinister individual behind all the ride malfunctions and creepy, crawly creatures? If so, who could it be?::SindyMac; Mystery Inc. (Daphne, Fred, Velma, Shaggy, and Scooby Doo) has broken up; on the grounds of who has been solving their cases. After two years seperated, they are mysteriously joined together to solve a case on Spooky Island. A theme park owned by a man named, Mondavarious. He needs their help, figuring out why the vacationers are leaving mellow and sober. But it seems they are brought back as one for more than just solving a case.::Rachel <DaphShagFredVelmScoob>",89,United States; Australia,us; au,en,Color::(Technicolor),1.85 : 1,Dolby Digital; SDDS::(8 channels); DTS,Argentina:Atp; Australia:G; Austria:10; Brazil:Livre; Canada:PG::(Alberta/Manitoba/Nova Scotia); Canada:G::(British Columbia/Quebec); Canada:F::(Ontario); Finland:K-7; France:Tous publics; Germany:6; Hong Kong:I; Iceland:L; India:U; Indonesia:R; Ireland:PG; Italy:T; Japan:G; Malaysia:U; Mexico:A; Netherlands:AL; New Zealand:PG; Nigeria:G; Norway:9::(iTunes rating); Norway:11::(cinema rating); Philippines:G; Russia:12+; Russia:0+::(TV rating); Saudi Arabia:G; Singapore:PG; South Korea:All; Spain:7; Sweden:7; Switzerland:10::(canton of Geneva); Switzerland:10::(canton of Vaud); Switzerland:8::(canton of the Grisons); Taiwan:G; Thailand:G; United Kingdom:PG; United States:TV-G::(Nickelodeon); United States:PG,14 Jun 2002 (USA),5.1,100619,"https://m.media-amazon.com/images/M/MV5BMTg4MzMzMTY0OF5BMl5BanBnXkFtZTYwNzM3MTg2._V1_SY150_CR0,0,101,150_.jpg",0267913,English,Scooby-Doo,2002,movie
Silent Hill (2006),"A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill.::mystic80; Sharon Da Silva wakes up every night screaming about ""silent hill"". Pursued by a police officer suspicious of her motives and swerving to avoid another child her adoptive mother crashes the car knocking herself unconscious. When Rose Da Silva awakens to find her adopted child is missing, she searches the fog and ash blanketed town for her beloved daughter.::Pel Par; Unable to accept the fact that her daughter is dying, Rose (Radha Mitchell) decides to take the girl to a faith healer. On the way, the pair drive through a portal in reality, leading to an eerie town called Silent Hill. The town is surrounded by a potent darkness, and the human survivors fight a losing battle against it.::ahmetkozan; Rose and Chris' adopted daughter, Sharon, suffers from dangerous sleepwalking episodes, during which she often speaks about the ghost town, Silent Hill. Desperate to help her child, Rose takes Sharon to Silent Hill where she and a concerned police officer become trapped in an alternate reality of ash, monsters, and cultists. While Chris searches for his wife and dauther in the real world, Rose conducts a parallel investigation into the horrific truth of Sharon's history in Silent Hill.::mrosesteed; After the continuous sleep walking episodes of Sharon, the young daughter of Rose Da Silva, the decision is made to take Sharon to the place only mentioned in her restless dreams- Silent Hill. However, the road to Silent Hill is anything but easy to access, and Rose creates a high speed chase between herself and a police officer only to end in a crash for them both. When she wakes up, Sharon has disappeared and Rose is at the entrance to the deserted, dream-like town of Silent Hill. As Rose begins the search for her daughter, she does not realize the terror and mystery surrounding her. Rose is led on a blind search for her beloved daughter, finding herself getting more and more entwined into disturbing past of Silent Hill.::krazyhorse98 (Jackie V.); Routed from sleepwalking problems, Rose Da Silva decides to take her daughter Sharon to the town she talks about in her sleep, Silent Hill, to face her nightmares, where Sharon goes missing and Rose must fight the power of the town to get her back.::Conquerer",125,Canada; France,ca; fr,en,Color,2.35 : 1,DTS; Dolby Digital; SDDS,Argentina:16; Australia:MA15+; Belgium:KNT/ENA; Brazil:18; Canada:18A; Canada:13+::(Quebec); Chile:14; Czech Republic:12; Czech Republic:15::(DVD rating); Finland:K-15; France:12; Germany:16::(nf); Greece:K-17; Hong Kong:IIB; Hungary:18; Ireland:16; Ireland:15::(DVD rating); Italy:T; Japan:PG-12; Lithuania:N-16; Malaysia:U::(DVD); Mexico:C; Mexico:B::(DVD rating); Netherlands:16; New Zealand:R16; Norway:15; Philippines:R-13; Portugal:M/18; Romania:I.M.-18; Singapore:M18; Singapore:NC-16; Slovakia:12; South Korea:18; Spain:18; Sweden:15; Switzerland:16::(canton of Geneva); Switzerland:16::(canton of Vaud); Turkey:18+; United Kingdom:15; United States:R,21 Apr 2006 (USA),6.5,214597,"https://m.media-amazon.com/images/M/MV5BOWQzNTU3NGUtNDAxMi00ZjFjLTkyYWUtYjgwZDJiMDljZWY4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SY150_CR0,0,101,150_.jpg",0384537,English,Silent Hill,2006,movie
Resident Evil (2002),"A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.::Anonymous; A virus has escaped in a secret facility called ""The Hive,"" turning the staff into hungry zombies and releasing the mutated Lab ""Animals"" that they were studying. The complex computer shuts down the base to prevent infection. The parent corporation sends in an elite military unit, where they meet Alice, who is suffering from amnesia due to exposure to nerve gas. The military team must shut down the computer and get out, fighting their way past zombies, mutants, and the computer itself, before the virus escapes and infects the rest of the world. Alice must also come to terms with her slowly-returning memories.::<crow_steve@hotmail.com>; In the near future, the powerful Umbrella Corporation has a hidden research facility called The Hive underneath Raccoon City, where the scientists develop genetically engineered drugs for medical purpose and biological weapons. After stealing the lethal T-virus, a thief contaminates The Hive and the artificial intelligence Red Queen seals the Hive and kills all the staff and guinea pigs. A woman called Alice awakes naked in a bathroom of a mansion without memory and soon a commando led by a man called One subdues her and another man called Matt, who claims to be a cop. Alice learns that she is a security guard with her partner Spence assigned to protect the entrance to The Hive and her memory will return in an undefined period since she was affected by a gas. The Red Queen had a malfunctioning five hours ago and had shut down the facility and killed everybody releasing a lethal gas. Now they need to shut down the Red Queen and restart her systems. They use an underground train to reach The Hive and the Red Queen asks then to leave the place. However Kaplan disables the Red Queen opening the doors in The Hive. Soon the group learns that the staff has turned into zombies and now they are under siege of the zombies. Most of the commando dies and only Alice, Spence, Matt, Rain and Kaplan survive. Now they need to find a way to escape from The Hive since the system will shut down the exits in a short period. Who will survive?::Claudio Carvalho, Rio de Janeiro, Brazil; Nestled deep into the bowels of Raccoon City, The Hive--a state-of-the-art research facility owned by the universal corporate conglomerate known as the Umbrella Corporation--is sealed, after a biological contamination by the highly experimental agent, T-Virus. Now, under the complete control of The Red Queen--the facility's all-powerful artificial intelligence--the few survivors must battle the reanimated staff that has turned into ravenous flesh-eating zombies, as the amnesiac employee, Alice, struggles not only to regain her memory but to survive. Amid unfathomable horrors and aggressive mutations called the Lickers, Alice and the uninfected humans must find the only exit within an hour, before they are forever trapped in this hell. Can they leave the Hive unharmed?::Nick Riganas; A virus has escaped into a secret facility called ""The Hive,"" which chemically turns the staff (Umbrella Corporation) into man eating zombies and releasing the mutated lab animals that they were studying. The complex computer (The Red Queen) shuts down the base to prevent from infection. The parent corporation sends in a military unit, where they meet Alice who has only a short time to remember who she is and what is her mission. who which is suffering from amnesia due to the nerve gas released into her bathroom. The military must shut down the computer (The Red Queen) and make their way back out of the Hive. Fighting their way past zombies, mutants and The Red Queen before the T-Virus escapes and effects the rest of the world. Its up to Alice to defeat the virus, if she loses, we all lose.::fast_furious_728@hotmail.com; A crack team is sent to the 'Hive', the mighty Umbrella Corporation's secret underground lab complex, which was locked-down by it central computer 'Red Queen', after its staff of 5000 fell victim to nerve gas. They pick up the secret entrance-resident underground security couple, both suffering from amnesia because of the gas. The computer's crafty defense soon kills half of the team before whiz kid Chad Kaplan outsmarts it. Then they find the staff has been turned into cannibalistic zombies, while experimentally miss-bred hell-hounds complete the bloody inferno. The auto-destruct is programmed in two hours, to prevent out-world infection. And at least one member has a criminal secret.::KGF Vissers",100,United Kingdom; Germany,gb; de,en,Color,1.85 : 1,DTS; Dolby Digital; SDDS; Dolby Atmos,Argentina:13; Australia:MA; Brazil:16; Canada:18A::(Alberta/British Columbia); Canada:R::(Manitoba/Ontario); Canada:14::(Nova Scotia); Canada:13+::(Quebec); Chile:14; Denmark:15; Finland:K-18; Finland:K-15; France:12; Germany:16; Hong Kong:IIB; Hungary:16; Hungary:18; Iceland:16; India:A; Ireland:15; Italy:VM14; Japan:PG-12; Malaysia:18SG; Mexico:C; Netherlands:16; New Zealand:R16; Nigeria:15; Norway:18; Norway:15::(iTunes rating); Peru:18; Philippines:PG-13; Portugal:M/16; Russia:18+; Saudi Arabia:R15; Singapore:NC-16; Singapore:PG13; South Korea:18; Spain:18; Sweden:15; Switzerland:16::(canton of Geneva); Switzerland:16::(canton of Vaud); Switzerland:16::(canton of the Grisons); Turkey:15+; United Kingdom:15; United States:R; Ukraine:18,15 Mar 2002 (USA),6.7,248970,"https://m.media-amazon.com/images/M/MV5BZmI1ZGRhNDYtOGVjZC00MmUyLThlNTktMTQyZGE3MzE1ZTdlXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SY150_CR1,0,101,150_.jpg",0120804,English,Resident Evil,2002,movie
Yinz (2018),The lives of three upper class teenagers are turned upside down by an unexpected murder.::King Schultz,89,United States,us,en,Color,,,,,5.2,84,"https://m.media-amazon.com/images/M/MV5BYjVjMjg4ZWUtMmI1Yi00MTRjLTgzMzQtODY4MTcyMzg2OGRkXkEyXkFqcGdeQXVyNjI5MDAxOQ@@._V1_SX101_CR0,0,101,150_.jpg",5233090,English,Yinz,2018,movie
The Anomaly (2014),"An ex-soldier named Ryan Reeve is taken captive by the ""Anomaly"" organization where he learns that he only has 9:47 minutes/seconds to find out why they want him dead.::Miss W J Mcdermott; Set in the future, the film is about the development of new cutting-edge bioweapon. Traumatized ex-soldier Ryan Reeve wakes up in the back of a moving van next to a young boy who has been kidnapped, he attempts to free the boy, but blacks out. He is forced to work out what is happening in bursts of time no longer than ten minutes, before his mind is taken over again. He teams up with the mysterious ""Dana"" as he battles a conspiracy known as ""Anomaly"" led by Harkin Langham, and learns that the bioweapon is the same mind control that has allowed its creator to take over his body.",97,United Kingdom,gb,en; ru,Color,2.35 : 1,DTS; Dolby Digital,Australia:MA15+; Brazil:16; Canada:14A::(Manitoba); Canada:14A::(Ontario); Canada:13+::(Quebec); Finland:K-16; Germany:16; Ireland:16; Ireland:15::(DVD rating); Netherlands:16; New Zealand:R16; Norway:15::(iTunes rating); Philippines:R-16; South Korea:18; United Kingdom:15; United States:Not Rated,04 Jul 2014 (UK),4.7,7291,"https://m.media-amazon.com/images/M/MV5BYzQ0MTIyOTEtZGI1Mi00NzgwLWE2NzAtNTU2NmEwZTM3NTVmXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SY150_CR2,0,101,150_.jpg",2962726,English; Russian,The Anomaly,2014,movie
Birdemic: Shock and Terror (2010),"A horde of mutated birds descends upon the quiet town of Half Moon Bay, California. With the death toll rising, Two citizens manage to fight back, but will they survive Birdemic?::jhansell-89168; In the town of Half Moon Bay California, there's an epidemic on the horizon: a Birdemic. All the birds are attacking humanity for their devastating damage they're inflicting on the Earth: they're going after gas stations and people's cars, and the birds have something the humans will never see coming: Bird-Acid.::Johnny",105,United States,us,en,Color,1.78 : 1,Stereo,Australia:M; Canada:14A::(Alberta); Canada:PG::(British Columbia); India:U; Italy:T; Japan:G; New Zealand:M; Nigeria:G; Singapore:G; United Kingdom:15; United States:Not Rated; United States:TV-14::(self-applied),,1.8,21547,"https://m.media-amazon.com/images/M/MV5BZTMyNmM1ODYtZmU3OS00NWIwLTg0MWEtNDExY2NlMzYzNTQ4XkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_SY150_CR1,0,101,150_.jpg",1316037,English,Birdemic: Shock and Terror,2010,movie
Super Mario Bros. (1993),"Two Brooklyn plumbers, Mario and Luigi, must travel to another dimension to rescue a princess from the evil dictator King Koopa and stop him from taking over the world.; Can you make a movie out of a video game? That's the question that is answered by this film. Mario Mario and Luigi Mario, two hard working plumbers find themselves in an alternate universe where evolved dinosaurs live in medium hi-tech squalor. They find themselves the only hope to save the Earth from invasion.::John Vogel <jlvogel@comcast.net>; This is the story of two hard-working Italian plumber brothers named Mario Mario and Luigi Mario, who befriends a young paleontologist named Daisy. She uncovers a massive find of mysterious new dinosaur bones. While exploring the tunnels where dinosaur fossils lay, saboteurs hired by the Mario Bros. rival businessman, Anthony Scapelli, to break some underground pipes. Meanwhile, in a hidden world called Dinohattan, King Koopa's land is running out of water and going through problems so he sends Spike and Iggy to kidnap Daisy! Now the Super Mario Bros. find themselves the only hope to save the Earth from invasion then challenge a diabolical lizard king and they must battle giant reptilian goombas, outwit misfit thugs, and undermine sinister scheme by taking over the world!::Anthony Pereyra <hypersonic91@yahoo.com>; Mario and Luigi, two wacky plumbers, undertake a daring quest to save a princess in Dinohattan -- a hidden world where the inhabitants evolved from dinosaurs! Mario and Luigi face deadly challenges from a diabolical lizard king and must battle giant reptilian goombas, outwit misfit thugs, and undermine a sinister scheme to take over the world!::Robert Lynch <docrlynch@yahoo.com>",104,United Kingdom; United States; Japan; France,gb; us; jp; fr,en,Color::(Technicolor),1.85 : 1,Dolby Digital,Argentina:Atp; Australia:PG; Brazil:Livre; Canada:PG::(Manitoba/Ontario); Canada:G::(Nova Scotia/Québec); Denmark:15; Finland:K-12; Finland:K-3::(DVD rating); France:Tous Public; Germany:12; Iceland:L; Iceland:12::(video rating); Italy:T; Japan:G; Mexico:A; Netherlands:12; New Zealand:PG; Norway:10; Peru:Apt; Philippines:G; Portugal:M/6; Russia:0+; Singapore:PG; South Korea:All::(theatrical rating); South Korea:12::(video rating); Spain:13; Sweden:11; United Kingdom:PG; United States:PG,28 May 1993 (USA),4.1,49020,"https://m.media-amazon.com/images/M/MV5BZGVmZTUyZDAtYjg0MC00NmE5LWE2OTAtM2FjNGI1NWUyMzE0XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SY150_CR0,0,101,150_.jpg",0108255,English,Super Mario Bros.,1993,movie
Trolls World Tour (2020),"When the Queen of the Hard Rock Trolls tries to take over all the Troll kingdoms, Queen Poppy and her friends try different ways to save all the Trolls.; Poppy and Branch discover that they are but one of six different Troll tribes scattered over six different lands devoted to six different kinds of music: Funk, Country, Techno, Classical, Pop and Rock. Their world is about to get a lot bigger and a whole lot louder. A member of hard-rock royalty, Queen Barb, aided by her father King Thrash, wants to destroy all other kinds of music to let rock reign supreme. With the fate of the world at stake, Poppy and Branch, along with their friends, set out to visit all the other lands to unify the Trolls in harmony against Barb, who's looking to upstage them all.",90,United States,us,en,Color,2.35 : 1,Dolby Atmos::(Dolby Atmos+Vision); DTS::(DTS: X); Dolby Digital; Auro 11.1; Dolby Surround 7.1,Argentina:Atp; Australia:G; Brazil:Livre; Canada:G::(Alberta/British Columbia); Chile:TE; Colombia:T; Denmark:7::(DVD rating); Finland:K-7::(DVD rating); France:Tous publics; Germany:0; Hong Kong:I; India:U; Ireland:G; Italy:T; Japan:G; Malaysia:P13; Mexico:A; Netherlands:6; New Zealand:G; Norway:A::(cinema rating); Portugal:M/6; Russia:6+; Singapore:PG; South Korea:All; Spain:A/i; Sweden:7::(DVD rating); Switzerland:0; Taiwan:GP; Turkey:7A; United Kingdom:U; United States:PG; Vietnam:P,10 Apr 2020 (USA),6.1,17283,"https://m.media-amazon.com/images/M/MV5BMTI5NmViY2YtNDk5NC00NjY2LWFlNGYtOGEwNzY1MTZmMjFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX101_CR0,0,101,150_.jpg",6587640,English,Trolls World Tour,2020,movie
The Rocky Horror Picture Show (1975),"A newly-engaged couple have a breakdown in an isolated area and must seek shelter at the bizarre residence of Dr. Frank-n-Furter.::Kenneth Chisholm; On a wild and rain-swept late-November evening, somewhere at an empty stretch of road outside Ohio's merry Denton, blissfully-affianced, prudish, boringly-innocent young pair Brad Majors (Barry Bostwick) and Janet Weiss (Susan Sarandon) find themselves stranded on their way to visit an ex-tutor. Instead, the couple will inadvertently unearth the cross-dressing Dr. Frank-N-Furter's (Tim Curry's) spooky lair of inexhaustible oddities, just in time to partake in the out-of-this-world mad scientist's proud unveiling of his latest, delightfully extravagant, most daring creation: the ultimate male and the perfect sex symbol: the flaxen-haired Rocky Horror (Peter Hinwood). But, little by little, as the effervescent transgressive force gobbles up whole the unsuspecting visitors of the night, Brad and Janet slowly begin to embrace the potent fascinations of seduction, while an idolized Rocky roams free in the mansion. Who can interrupt man's union with the absolute pleasure?::Nick Riganas; After the wedding of mutual friends, Brad Majors (Barry Bostwick) and his fiancée Janet Weiss (Susan Sarandon) get lost driving in a heavy downpour. The first house they see belongs to majordomo Riff Raff (Richard O'Brien) and his sister, housekeeper Magenta (Patricia Quinn). Brad and Janet have come on an auspicious night: the Transylvanians are there for the benefit of Dr. Frank-N-Furter (Tim Curry), a sweet transvestite. But all is not happy, as the criminologist/narrator expounds in this tuneful send-up. Based upon the smash British show, The Rocky Horror Show. This movie did little box-office business until it became THE cult hit and invented the midnight showing.::Huggo; While driving home on a rainy night, strait-laced lovebirds Brad Majors (Barry Bostwick) and Janet Weiss (Susan Sarandon) end up by chance at the castle of one Dr. Frank-N-Furter (Tim Curry) and his bizarre entourage and find that he's having a party. This is no ordinary party, no ordinary night. This is the unveiling of the doctor's latest creation: Rocky Horror (Peter Hinwood), a man-made Adonis that will give absolute pleasure. Over the course of the night, Frank seduces both Brad and Janet, Janet and Rocky become Biblically involved, and Dr. Everett V. Scott (Jonathan Adams) arrives looking for his nephew Eddie (Meat Loaf) (whom Frank killed earlier in this movie). This is an exceedingly grand visual and musical camp satire of the golden days of the B-movie horror and science-fiction genres. Projected along with a musical soundtrack to give audience participation a new meaning in dimension, time, and space, this shall be a night that Brad and Janet will remember for a very long time in the sexually kinky, rock 'n roll, rock-opera world of a gender-bending scientist - and his time warped plans.::Cinema_Fan; Brad Majors (Barry Bostwick) and Janet Weiss (Susan Sarandon), newly engaged, stumble onto the castle of Dr. Frank-N-Furter (Tim Curry) during a rainstorm. Taking refuge in the castle, they're present for the doctor's unveiling of his newest creation, Rocky Horror (Peter Hinwood). Over the course of the night, Frank seduces both Brad and Janet, Janet and Rocky become involved Biblically, Dr. Everett V. Scott (Jonathan Adams) arrives looking for his son Eddie (Meat Loaf) (whom Frank killed earlier in this movie), and the guests discover that Frank is actually an alien (a transvestite from the planet Transsexual in the galaxy Transylvania) who's succeeded in creating the Sonic Transducer, ""an audio-vibratory physiomolecular transport device"" capable of ""breaking down solid matter and then projecting it through space and, who knows, perhaps even time itself.""::Leo; A story of creation, love, hate, adventure, and most of all, sex. The story begins in Denton, Ohio as Brad Majors (Barry Bostwick) and Janet Weiss (Susan Sarandon), after getting engaged, travel to see the man who began it, but wind up at the castle of Dr. Frank-N-Furter (Tim Curry), a transvestite alien from the planet Transsexual in the galaxy of Transylvania. And they meet Riff Raff (Richard O'Brien), Magenta (Patricia Quinn), and Columbia (Nell Campbell), which leads to doing the Time Warp again. They discover they have been there on a special night: Frank's creation is to be born. As Rocky Horror (Peter Hinwood) has been revealed, rebel Eddie (Meat Loaf), Frank's most-recent creation, powers in on his motorcycle, and Frank brings him down.In comes Dr. Everett V. Scott (Jonathan Adams), he's come for Eddie, but discovers his deceased body. Frank chases Janet and Brad and Dr. Scott chases Frank, which results in everybody but Frank getting frozen. Enter the floor show which then turns into the horrifying deaths of Frank and Columbia, and the castle's blasting off back to Transylvania. Brad, Janet, and Dr. Scott survive and leave with torn clothes and battered bodies.::Max Davison",100,United Kingdom; United States,gb; us,en,Color::(Eastmancolor),1.66 : 1 (negative ratio / DVD version),Chace Surround::(Remix for video release); Mono::(35 mm optical prints); 4-Track Stereo::(35 mm magnetic prints),Argentina:X; Argentina:16; Australia:M; Brazil:14; Brazil:18; Bulgaria:C; Canada:PG::(British Columbia/Manitoba); Canada:R::(Nova Scotia); Canada:AA::(Ontario); Canada:G::(Quebec); Canada:14A::(Alberta); Chile:14; Finland:K-14; France:12; Germany:12; Hong Kong:II; Iceland:12; India:UA; India:A::(1970s); Ireland:18::(video); Ireland:12A; Ireland:15::(video); Italy:VM14; Japan:R; Japan:G::(Prime Video rating); Malaysia:U; Mexico:B; Netherlands:16; New Zealand:M; New Zealand:R18; New Zealand:R13; New Zealand:R16; Nigeria:12; Norway:16; Norway:15::(TV rating); Norway:12::(recommended rating); Portugal:M/12; Russia:16+; Saudi Arabia:PG12; Singapore:(Banned); Singapore:M18; Singapore:R(A); South Africa:PG; South Korea:18; Spain:13; Sweden:15; Taiwan:R-15; United Kingdom:PG::(recommended rating); United Kingdom:12A; United Kingdom:12A; United Kingdom:12::(theatrical rating); United Kingdom:15::(VHS); United Kingdom:AA; United States:TV-MA; United States:TV-14; United States:R; West Germany:12,31 Aug 1975 (Italy),7.4,133883,"https://m.media-amazon.com/images/M/MV5BOGIzYjM3YzMtMjk5ZS00NDY2LTllMjEtNjYwZjhmMDNhMDBkXkEyXkFqcGdeQXVyODUzMjQxMTA@._V1_SY150_CR0,0,101,150_.jpg",0073629,English,The Rocky Horror Picture Show,1975,movie
Street Fighter (1994),"Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts.::Kenneth Chisholm; Col. William Guile leads an army of soldiers into the country of Shadaloo to find traces to lead him to General M. Bison, who has captured many people including three missing soldiers. Among them is Carlos ""Charlie"" Blanka, in which Bison decides to turn into a hideous mutant. On the other hand, Chun Li is a reporter who seeks revenge against Bison for the death of her father years ago. Then two small time hustlers Ryu and Ken, are arrested along with Sagat, a powerful arms dealer and Vega for dealing of illegal weapons. Guile recruits them in order to find Bison's base. Now Guile, T. Hawk, Cammy, Ryu, Ken, Chun Li, Balrog and E. Honda have three days before Bison murders the hostages and takes over the world.::Emphinix; After months of fighting, a multinational military force of the Allied Nations has managed to enter the city. The AN is fighting against the armed forces of drug-lord turned the evil warlord General M. Bison, who has recently captured a couple of dozen AN workers. Bison makes his demands in a live two-way TV broadcast with William F. Guile, the commander of the AN forces. If he is not paid $20 billion in three days he will kill the hostages! And so Guile and M. Bison will be facing off in the ultimate final showdown!::Anthony Pereyra <hypersonic91@yahoo.com>",102,Japan; United States,jp; us,en; ja; eo,Color,1.33 : 1 (TV footage),DTS-Stereo::(uncredited); DTS::(uncredited); Dolby SR,Argentina:13; Australia:M; Brazil:14; Canada:13+::(Quebec); Denmark:15; Finland:K-16; Finland:K-14; France:Tous publics; Germany:16; Iceland:16; India:U; Ireland:15; Italy:T; Mexico:B; Netherlands:12; Norway:15::(cinema rating); Peru:14; Portugal:M/12; Singapore:PG; South Korea:12; Spain:18; Sweden:15; United Kingdom:12; United States:PG-13,23 Dec 1994 (USA),4.0,66364,https://m.media-amazon.com/images/M/MV5BY2JhYjUzYzAtMWFhMi00YzIyLTllZGQtMTAzNThkNTJhNTBmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SY150_SX101_.jpg,0111301,English; Japanese; Esperanto,Street Fighter,1994,movie
A Very Country Christmas (2017),"A country music star leaves it all behind to get back to his roots and find his way back to what he really loves. What he doesn't expect to find - is true love.::Happy_Evil_Dude; Jeanette Williams is a busy single parent, trying to make the best life for her and her daughter. With no time to follow current celebrity gossip, Jeanette is unaware of when a Country superstar returns to their small town to escape the intrusive paparazzi and the chaos of fame. A chance meeting between the two have them both letting their guards down and opening their hearts to the possibility of romance.",84,United States; Canada,us; ca,en,Color,,,Australia:G; Canada:G; Netherlands:AL; United States:PG,12 Nov 2017 (USA),6.1,1191,"https://m.media-amazon.com/images/M/MV5BNTZjZDFjM2YtMjcyZi00OTA4LWI4NDMtNTkzOThlYTU0YjQyXkEyXkFqcGdeQXVyNjI4Mzg5OTg@._V1_SY150_CR1,0,101,150_.jpg",7001906,English,A Very Country Christmas,2017,tv movie
Santa Girl (2019),"Santa's daughter gets a chance to attend college for one semester in the 'real' world before heading back to the North Pole to fulfill her duties under her father.; The only daughter of Santa Claus (Barry Bostwick ""Spin City"") wants to experience the ""real world"" before she must marry the son of Jack Frost and take over the family business. Cassie Claus (Jennifer Stone ""Wizards of Waverly Place""), along with her trusty elf, sets off to college while trying to keep her magic powers and famous father a secret. At school, Cassie is pursued by two boys: Sam (Devon Werkheiser ""Ned's Declassified School Survival Guide"") who is sweetly awkward and J.R., handsome and wealthy. As her impending arranged marriage looms, Cassie struggles with her feelings for Sam and her obligation to her father and to Christmas itself.; Cassie (Jennifer Stone) is the only daughter of Santa Claus (Barry Bostwick), ensconced in the North Pole as two magical humans in a vast community of elves. Cassie's mom passed away years ago and Santa hasn't been the same since. He's lost weight, he's ditched the red suit (except on Christmas Eve) and he runs his workshop like a Fortune 500 conglomerate. To support Kringle Industries, Santa has struck a deal with Jack Frost, betrothing Cassie to Frost's son whom she has never met. Cassie will marry on Christmas Eve, thereby uniting these powerful families and assuring that Christmas will go on unimpeded. But Cassie yearns to see the wider world before she gets married and takes over her father's business, and so has secretly applied to a University in the real world - and she got in. She convinces Santa to let her attend school until Christmas when she will marry. Along with her trusty elf, Pep (McKayla Witt), Cassie sets off to life as a fish-out-of-water around these humans who are unlike anyone she has ever met before. Shortly after arriving, she is ardently pursued by J.R. (Josh Cody), a handsome and wealthy young man, and also by Sam (Devon Werkheiser), a sweetly awkward scholarship student. She's unaware that J.R. is actually Jack Frost's son, and that he has been ordered by his domineering dad to clinch the marriage -- or else. When Cassie suspects Sam of publicly humiliating her on the internet, she flees back to the North Pole in disgrace. Cassie doesn't love J.R., but she's determined to honor her betrothal. Yet she doesn't realize that Sam and Santa have found a loophole in the marriage contract, and they are rushing to stop the wedding at the last possible moment.",90,United States,us,en,Color,,,Germany:0,,5.0,995,"https://m.media-amazon.com/images/M/MV5BMTczMGE0MTAtMmFhMC00NGFhLWI1MzctNzhhZjkwNzMwYzE0XkEyXkFqcGdeQXVyMTQwNzAyMA@@._V1_SX101_CR0,0,101,150_.jpg",7315570,English,Santa Girl,2019,movie
We Can Be Heroes (2020),"When alien invaders capture the Earth's superheroes, their kids must learn to work together to save their parents- and the planet.; When alien invaders kidnap Earth's superheroes, their kids are whisked away to a government safe house. But whip-smart tween Missy Moreno will stop at nothing to rescue her superhero dad, Marcus Moreno. Missy teams up with the rest of the superkids to escape their mysterious government babysitter, Ms. Granada. If they're going to save their parents, they'll have to work together by using their individual powers - from elasticity to time control to predicting the future - and form an out-of-this-world team.::Netflix",100,United States,us,en,Color,1.85 : 1,Stereo,Australia:PG; Brazil:Livre::(self-applied); Canada:PG::(self-applied); France:7::(self-applied); Germany:6::(self-applied); India:7::(self-applied); Italy:T::(self-applied); Japan:G::(self-applied); Mexico:PG::(self-applied); Singapore:PG; Spain:7; United Kingdom:PG; United States:PG; Vietnam:P,25 Dec 2020 (USA),4.7,10667,"https://m.media-amazon.com/images/M/MV5BYmU3OGFhZDItMjhlZi00YjQwLWJlOTItYzlhOGEwNGU3NjIwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SY150_CR0,0,101,150_.jpg",10600398,English,We Can Be Heroes,2020,movie
